"","pathway_name","top_level_pathway_name"
"483","Interconversion of nucleotide di- and triphosphates","Metabolism"
"484","Interferon alpha/beta signaling","Immune System"
"485","Interferon alpha/beta signaling","Immune System"
"486","Interferon gamma signaling","Immune System"
"487","Interleukin receptor SHC signaling","Immune System"
"488","Interleukin-1 signaling","Immune System"
"489","Interleukin-1 signaling","Immune System"
"490","Interleukin-10 signaling","Immune System"
"491","Interleukin-12 signaling","Immune System"
"492","Interleukin-15 signaling","Immune System"
"493","Interleukin-17 signaling","Immune System"
"494","Interleukin-17 signaling","Immune System"
"495","Interleukin-2 family signaling","Immune System"
"496","Interleukin-2 signaling","Immune System"
"497","Interleukin-20 family signaling","Immune System"
"498","Interleukin-21 signaling","Immune System"
"499","Interleukin-27 signaling","Immune System"
"500","Interleukin-3, Interleukin-5 and GM-CSF signaling","Immune System"
"501","Interleukin-35 Signalling","Immune System"
"502","Interleukin-37 signaling","Immune System"
"503","Interleukin-4 and Interleukin-13 signaling","Immune System"
"504","Interleukin-6 signaling","Immune System"
"505","Interleukin-7 signaling","Immune System"
"506","Intra-Golgi traffic","Vesicle-mediated transport"
"507","Intraflagellar transport","Organelle biogenesis and maintenance"
"508","Intrinsic Pathway of Fibrin Clot Formation","Hemostasis"
"509","Ion channel transport","Transport of small molecules"
"510","Ion homeostasis","Muscle contraction"
"511","Ion transport by P-type ATPases","Transport of small molecules"
"512","IRAK1 recruits IKK complex","Immune System"
"513","IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation","Immune System"
"514","IRAK2 mediated activation of TAK1 complex","Immune System"
"515","IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation","Immune System"
"516","IRAK4 deficiency (TLR2/4)","Disease"
"517","IRAK4 deficiency (TLR2/4)","Disease"
"518","IRE1alpha activates chaperones","Cellular responses to stimuli"
"519","IRF3-mediated induction of type I IFN","Immune System"
"520","IRF3-mediated induction of type I IFN","Immune System"
"521","Iron uptake and transport","Transport of small molecules"
"522","IRS-mediated signalling","Signal Transduction"
"523","IRS-related events triggered by IGF1R","Signal Transduction"
"524","ISG15 antiviral mechanism","Immune System"
"525","ISG15 antiviral mechanism","Immune System"
"526","JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1","Immune System"
"527","Josephin domain DUBs","Metabolism of proteins"
"528","KEAP1-NFE2L2 pathway","Cellular responses to stimuli"
"529","Keratan sulfate biosynthesis","Metabolism"
"530","Keratan sulfate degradation","Metabolism"
"531","Keratinization","Developmental Biology"
"532","Kinesins","Hemostasis"
"533","KSRP (KHSRP) binds and destabilizes mRNA","Metabolism of RNA"
"534","L13a-mediated translational silencing of Ceruloplasmin expression","Metabolism of proteins"
"535","L1CAM interactions","Developmental Biology"
"536","Laminin interactions","Extracellular matrix organization"
"537","Late endosomal microautophagy","Autophagy"
"538","LDL clearance","Transport of small molecules"
"539","LGI-ADAM interactions","Developmental Biology"
"540","Long-term potentiation","Neuronal System"
"541","Loss of Nlp from mitotic centrosomes","Cell Cycle"
"542","Loss of proteins required for interphase microtubule organization from the centrosome","Cell Cycle"
"543","Lysine catabolism","Metabolism"
"544","Lysosome Vesicle Biogenesis","Vesicle-mediated transport"
"545","Lysosphingolipid and LPA receptors","Signal Transduction"
"546","Macroautophagy","Autophagy"
"547","Major pathway of rRNA processing in the nucleolus and cytosol","Metabolism of RNA"
"548","MAP2K and MAPK activation","Signal Transduction"
"549","MAP3K8 (TPL2)-dependent MAPK1/3 activation","Immune System"
"550","MAPK3 (ERK1) activation","Signal Transduction"
"551","MAPK6/MAPK4 signaling","Signal Transduction"
"552","MASTL Facilitates Mitotic Progression","Cell Cycle"
"553","Maturation of nucleoprotein","Disease"
"554","Maturation of nucleoprotein","Disease"
"555","Maturation of spike protein","Disease"
"556","Maturation of spike protein","Disease"
"557","MECP2 regulates neuronal receptors and channels","Gene expression (Transcription)"
"558","Meiotic recombination","Reproduction"
"559","Meiotic recombination","Cell Cycle"
"560","Meiotic synapsis","Reproduction"
"561","Meiotic synapsis","Cell Cycle"
"562","Membrane binding and targetting of GAG proteins","Disease"
"563","MET activates PTK2 signaling","Signal Transduction"
"564","MET activates RAP1 and RAC1","Signal Transduction"
"565","MET activates RAS signaling","Signal Transduction"
"566","MET receptor recycling","Signal Transduction"
"567","Metabolism","Metabolism"
"568","Metabolism of Angiotensinogen to Angiotensins","Metabolism of proteins"
"569","Metabolism of folate and pterines","Metabolism"
"570","Metabolism of polyamines","Metabolism"
"571","Metabolism of proteins","Metabolism of proteins"
"572","Metabolism of RNA","Metabolism of RNA"
"573","Metabolism of steroid hormones","Metabolism"
"574","Metal ion SLC transporters","Transport of small molecules"
"575","Metalloprotease DUBs","Metabolism of proteins"
"576","Metallothioneins bind metals","Cellular responses to stimuli"
"577","Methylation","Metabolism"
"578","MHC class II antigen presentation","Immune System"
"579","MicroRNA (miRNA) biogenesis","Gene expression (Transcription)"
"580","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","Vesicle-mediated transport"
"581","Miscellaneous transport and binding events","Transport of small molecules"
"582","Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)","DNA Repair"
"583","Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)","DNA Repair"
"584","Mitochondrial calcium ion transport","Transport of small molecules"
"585","Mitochondrial Fatty Acid Beta-Oxidation","Metabolism"
"586","Mitochondrial iron-sulfur cluster biogenesis","Metabolism"
"587","Mitochondrial protein import","Protein localization"
"588","Mitochondrial translation elongation","Metabolism of proteins"
"589","Mitochondrial translation initiation","Metabolism of proteins"
"590","Mitochondrial translation termination","Metabolism of proteins"
"591","Mitochondrial tRNA aminoacylation","Metabolism of proteins"
"592","Mitotic Prometaphase","Cell Cycle"
"593","Mitotic Prophase","Cell Cycle"
"594","Molecules associated with elastic fibres","Extracellular matrix organization"
"595","mRNA 3'-end processing","Metabolism of RNA"
"596","mRNA Capping","Metabolism of RNA"
"597","mRNA decay by 3' to 5' exoribonuclease","Metabolism of RNA"
"598","mRNA decay by 5' to 3' exoribonuclease","Metabolism of RNA"
"599","mRNA Splicing - Major Pathway","Metabolism of RNA"
"600","mRNA Splicing - Minor Pathway","Metabolism of RNA"
"601","MTOR signalling","Signal Transduction"
"602","mTORC1-mediated signalling","Signal Transduction"
"603","Muscle contraction","Muscle contraction"
"604","MyD88 cascade initiated on plasma membrane","Immune System"
"605","MyD88 deficiency (TLR2/4)","Disease"
"606","MyD88 deficiency (TLR2/4)","Disease"
"607","MyD88 dependent cascade initiated on endosome","Immune System"
"608","MyD88-independent TLR4 cascade ","Immune System"
"609","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","Immune System"
"610","MyD88:MAL(TIRAP) cascade initiated on plasma membrane","Immune System"
"611","Myogenesis","Developmental Biology"
"612","N-Glycan antennae elongation","Metabolism of proteins"
"613","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Metabolism of proteins"
"614","N-glycan trimming in the ER and Calnexin/Calreticulin cycle","Metabolism of proteins"
"615","NCAM signaling for neurite out-growth","Developmental Biology"
"616","NCAM1 interactions","Developmental Biology"
"617","Neddylation","Metabolism of proteins"
"618","Nef mediated downregulation of MHC class I complex cell surface expression","Disease"
"619","Negative regulation of activity of TFAP2 (AP-2) family transcription factors","Gene expression (Transcription)"
"620","Negative regulation of FGFR1 signaling","Signal Transduction"
"621","Negative regulation of FGFR2 signaling","Signal Transduction"
"622","Negative regulation of FGFR3 signaling","Signal Transduction"
"623","Negative regulation of FGFR4 signaling","Signal Transduction"
"624","Negative regulation of FLT3","Immune System"
"625","Negative regulation of MAPK pathway","Signal Transduction"
"626","Negative regulation of MET activity","Signal Transduction"
"627","Negative regulation of NMDA receptor-mediated neuronal transmission","Neuronal System"
"628","Negative regulation of NOTCH4 signaling","Signal Transduction"
"629","Negative regulation of TCF-dependent signaling by WNT ligand antagonists","Signal Transduction"
"630","Negative regulation of the PI3K/AKT network","Signal Transduction"
"631","Negative regulators of DDX58/IFIH1 signaling","Immune System"
"632","NEP/NS2 Interacts with the Cellular Export Machinery","Disease"
"633","NEP/NS2 Interacts with the Cellular Export Machinery","Disease"
"634","Nephrin family interactions","Cell-Cell communication"
"635","Netrin-1 signaling","Developmental Biology"
"636","Neurexins and neuroligins","Neuronal System"
"637","Neuronal System","Neuronal System"
"638","Neurotransmitter clearance","Neuronal System"
"639","Neurotransmitter receptors and postsynaptic signal transmission","Neuronal System"
"640","Neurotransmitter release cycle","Neuronal System"
"641","NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10","Immune System"
"642","NF-kB is activated and signals survival","Signal Transduction"
"643","NGF-stimulated transcription","Signal Transduction"
"644","Nicotinate metabolism","Metabolism"
"645","NIK-->noncanonical NF-kB signaling","Immune System"
"646","Nitric oxide stimulates guanylate cyclase","Hemostasis"
"647","NOD1/2 Signaling Pathway","Immune System"
"648","NOD1/2 Signaling Pathway","Immune System"
"649","Non-integrin membrane-ECM interactions","Extracellular matrix organization"
"650","Nonhomologous End-Joining (NHEJ)","DNA Repair"
"651","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)","Metabolism of RNA"
"652","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)","Metabolism of RNA"
"653","NoRC negatively regulates rRNA expression","Gene expression (Transcription)"
"654","Norepinephrine Neurotransmitter Release Cycle","Neuronal System"
"655","Notch-HLH transcription pathway","Gene expression (Transcription)"
"656","NOTCH1 Intracellular Domain Regulates Transcription","Signal Transduction"
"657","NOTCH2 Activation and Transmission of Signal to the Nucleus","Signal Transduction"
"658","NOTCH2 intracellular domain regulates transcription","Signal Transduction"
"659","NOTCH3 Activation and Transmission of Signal to the Nucleus","Signal Transduction"
"660","NOTCH3 Intracellular Domain Regulates Transcription","Signal Transduction"
"661","NOTCH4 Activation and Transmission of Signal to the Nucleus","Signal Transduction"
"662","NOTCH4 Intracellular Domain Regulates Transcription","Signal Transduction"
"663","NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux","Signal Transduction"
"664","NRAGE signals death through JNK","Signal Transduction"
"665","NRIF signals cell death from the nucleus","Signal Transduction"
"666","NS1 Mediated Effects on Host Pathways","Disease"
"667","NS1 Mediated Effects on Host Pathways","Disease"
"668","Nuclear Envelope Breakdown","Cell Cycle"
"669","Nuclear events mediated by NFE2L2","Cellular responses to stimuli"
"670","Nuclear events stimulated by ALK signaling in cancer","Disease"
"671","Nuclear import of Rev protein","Disease"
"672","Nuclear Pore Complex (NPC) Disassembly","Cell Cycle"
"673","Nuclear Receptor transcription pathway","Gene expression (Transcription)"
"674","Nuclear signaling by ERBB4","Signal Transduction"
"675","Nucleotide catabolism","Metabolism"
"676","O-linked glycosylation of mucins","Metabolism of proteins"
"677","Olfactory Signaling Pathway","Sensory Perception"
"678","Oncogene Induced Senescence","Cellular responses to stimuli"
"679","Opioid Signalling","Signal Transduction"
"680","Opsins","Signal Transduction"
"681","Orc1 removal from chromatin","Cell Cycle"
"682","Orc1 removal from chromatin","DNA Replication"
"683","Organelle biogenesis and maintenance","Organelle biogenesis and maintenance"
"684","Other interleukin signaling","Immune System"
"685","Other semaphorin interactions","Developmental Biology"
"686","Ovarian tumor domain proteases","Metabolism of proteins"
"687","Oxidative Stress Induced Senescence","Cellular responses to stimuli"
"688","Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha","Cellular responses to stimuli"
"689","p130Cas linkage to MAPK signaling for integrins","Hemostasis"
"690","p130Cas linkage to MAPK signaling for integrins","Signal Transduction"
"691","P2Y receptors","Signal Transduction"
"692","p38MAPK events","Signal Transduction"
"693","p53-Dependent G1 DNA Damage Response","Cell Cycle"
"694","p75NTR recruits signalling complexes","Signal Transduction"
"695","Packaging Of Telomere Ends","Cell Cycle"
"696","Paracetamol ADME","Drug ADME"
"697","Paracetamol ADME","Drug ADME"
"698","Paradoxical activation of RAF signaling by kinase inactive BRAF","Disease"
"699","Passive transport by Aquaporins","Transport of small molecules"
"700","Pausing and recovery of HIV elongation","Disease"
"701","Pausing and recovery of Tat-mediated HIV elongation","Disease"
"702","PCNA-Dependent Long Patch Base Excision Repair","DNA Repair"
"703","PCP/CE pathway","Signal Transduction"
"704","PECAM1 interactions","Hemostasis"
"705","Pentose phosphate pathway","Metabolism"
"706","Peptide chain elongation","Metabolism of proteins"
"707","Peptide hormone biosynthesis","Metabolism of proteins"
"708","Peptide ligand-binding receptors","Signal Transduction"
"709","PERK regulates gene expression","Cellular responses to stimuli"
"710","Peroxisomal lipid metabolism","Metabolism"
"711","Peroxisomal protein import","Protein localization"
"712","Pexophagy","Autophagy"
"713","Phase 0 - rapid depolarisation","Muscle contraction"
"714","Phase 2 - plateau phase","Muscle contraction"
"715","Phase 4 - resting membrane potential","Muscle contraction"
"716","Phase I - Functionalization of compounds","Metabolism"
"717","Phospholipase C-mediated cascade; FGFR2","Signal Transduction"
"718","Phospholipase C-mediated cascade; FGFR3","Signal Transduction"
"719","Phospholipase C-mediated cascade; FGFR4","Signal Transduction"
"720","Phospholipase C-mediated cascade: FGFR1","Signal Transduction"
"721","Phosphorylation of CD3 and TCR zeta chains","Immune System"
"722","Phosphorylation of the APC/C","Cell Cycle"
"723","Physiological factors","Muscle contraction"
"724","PI-3K cascade:FGFR1","Signal Transduction"
"725","PI-3K cascade:FGFR2","Signal Transduction"
"726","PI-3K cascade:FGFR3","Signal Transduction"
"727","PI-3K cascade:FGFR4","Signal Transduction"
"728","PI3K Cascade","Signal Transduction"
"729","PI3K events in ERBB2 signaling","Signal Transduction"
"730","PI3K events in ERBB4 signaling","Signal Transduction"
"731","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","Signal Transduction"
"732","PINK1-PRKN Mediated Mitophagy","Autophagy"
"733","PIP3 activates AKT signaling","Signal Transduction"
"734","PIP3 activates AKT signaling","Signal Transduction"
"735","PIWI-interacting RNA (piRNA) biogenesis","Gene expression (Transcription)"
"736","PKA activation","Signal Transduction"
"737","PKA activation in glucagon signalling","Metabolism"
"738","PKA-mediated phosphorylation of CREB","Signal Transduction"
"739","PKMTs methylate histone lysines","Chromatin organization"
"740","Platelet Adhesion to exposed collagen","Hemostasis"
"741","Platelet Aggregation (Plug Formation)","Hemostasis"
"742","Platelet degranulation ","Hemostasis"
"743","Platelet homeostasis","Hemostasis"
"744","Platelet sensitization by LDL","Hemostasis"
"745","PLC beta mediated events","Signal Transduction"
"746","Polo-like kinase mediated events","Cell Cycle"
"747","Polymerase switching","Cell Cycle"
"748","Polymerase switching","DNA Replication"
"749","Polymerase switching on the C-strand of the telomere","Cell Cycle"
"750","Post-chaperonin tubulin folding pathway","Metabolism of proteins"
"751","Post-translational modification: synthesis of GPI-anchored proteins","Metabolism of proteins"
"752","Post-translational protein phosphorylation","Metabolism of proteins"
"753","Postmitotic nuclear pore complex (NPC) reformation","Cell Cycle"
"754","Potential therapeutics for SARS","Disease"
"755","Potential therapeutics for SARS","Disease"
"756","POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation","Developmental Biology"
"757","PPARA activates gene expression","Metabolism"
"758","PRC2 methylates histones and DNA","Gene expression (Transcription)"
"759","Pre-NOTCH Processing in Golgi","Signal Transduction"
"760","Pre-NOTCH Transcription and Translation","Signal Transduction"
"761","Prefoldin mediated transfer of substrate  to CCT/TriC","Metabolism of proteins"
"762","Pregnenolone biosynthesis","Metabolism"
"763","Presynaptic depolarization and calcium channel opening","Neuronal System"
"764","Presynaptic function of Kainate receptors","Neuronal System"
"765","Presynaptic phase of homologous DNA pairing and strand exchange","DNA Repair"
"766","Processing of Capped Intron-Containing Pre-mRNA","Metabolism of RNA"
"767","Processing of DNA double-strand break ends","DNA Repair"
"768","Processing of Intronless Pre-mRNAs","Metabolism of RNA"
"769","Processing of SMDT1","Transport of small molecules"
"770","Processive synthesis on the C-strand of the telomere","Cell Cycle"
"771","Processive synthesis on the lagging strand","Cell Cycle"
"772","Processive synthesis on the lagging strand","DNA Replication"
"773","Programmed Cell Death","Programmed Cell Death"
"774","Prolactin receptor signaling","Immune System"
"775","Prostacyclin signalling through prostacyclin receptor","Hemostasis"
"776","Protein localization","Protein localization"
"777","PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases","Signal Transduction"
"778","Purine catabolism","Metabolism"
"779","Purine ribonucleoside monophosphate biosynthesis","Metabolism"
"780","Purine salvage","Metabolism"
"781","Purinergic signaling in leishmaniasis infection","Disease"
"782","Pyrimidine catabolism","Metabolism"
"783","Pyrimidine salvage","Metabolism"
"784","Pyroptosis","Programmed Cell Death"
"785","Pyruvate metabolism","Metabolism"
"786","RA biosynthesis pathway","Signal Transduction"
"787","RAB GEFs exchange GTP for GDP on RABs","Vesicle-mediated transport"
"788","RAB geranylgeranylation","Metabolism of proteins"
"789","RAC1 GTPase cycle","Signal Transduction"
"790","RAC2 GTPase cycle","Signal Transduction"
"791","RAC3 GTPase cycle","Signal Transduction"
"792","RAF activation","Signal Transduction"
"793","RAF-independent MAPK1/3 activation","Signal Transduction"
"794","RAF/MAP kinase cascade","Signal Transduction"
"795","Rap1 signalling","Immune System"
"796","Ras activation upon Ca2+ influx through NMDA receptor","Neuronal System"
"797","RAS processing","Signal Transduction"
"798","Reactions specific to the complex N-glycan synthesis pathway","Metabolism of proteins"
"799","Receptor Mediated Mitophagy","Autophagy"
"800","Receptor-type tyrosine-protein phosphatases","Neuronal System"
"801","Recognition and association of DNA glycosylase with site containing an affected purine","DNA Repair"
"802","Recognition and association of DNA glycosylase with site containing an affected pyrimidine","DNA Repair"
"803","Recognition of DNA damage by PCNA-containing replication complex","DNA Repair"
"804","Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks","DNA Repair"
"805","Recruitment of mitotic centrosome proteins and complexes","Cell Cycle"
"806","Recruitment of NuMA to mitotic centrosomes","Cell Cycle"
"807","Recycling of bile acids and salts","Metabolism"
"808","Recycling pathway of L1","Developmental Biology"
"809","Regulated proteolysis of p75NTR","Signal Transduction"
"810","Regulation by c-FLIP","Programmed Cell Death"
"811","Regulation of actin dynamics for phagocytic cup formation","Immune System"
"812","Regulation of activated PAK-2p34 by proteasome mediated degradation","Programmed Cell Death"
"813","Regulation of APC/C activators between G1/S and early anaphase","Cell Cycle"
"814","Regulation of Apoptosis","Programmed Cell Death"
"815","Regulation of BACH1 activity","Cellular responses to stimuli"
"816","Regulation of cholesterol biosynthesis by SREBP (SREBF)","Metabolism"
"817","Regulation of commissural axon pathfinding by SLIT and ROBO","Developmental Biology"
"818","Regulation of Complement cascade","Immune System"
"819","Regulation of Complement cascade","Immune System"
"820","Regulation of expression of SLITs and ROBOs","Developmental Biology"
"821","Regulation of FOXO transcriptional activity by acetylation","Gene expression (Transcription)"
"822","Regulation of FZD by ubiquitination","Signal Transduction"
"823","Regulation of gene expression by Hypoxia-inducible Factor","Cellular responses to stimuli"
"824","Regulation of gene expression in beta cells","Developmental Biology"
"825","Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells","Developmental Biology"
"826","Regulation of Glucokinase by Glucokinase Regulatory Protein","Metabolism"
"827","Regulation of glycolysis by fructose 2,6-bisphosphate metabolism","Metabolism"
"828","Regulation of HSF1-mediated heat shock response","Cellular responses to stimuli"
"829","Regulation of IFNA/IFNB signaling","Immune System"
"830","Regulation of IFNG signaling","Immune System"
"831","Regulation of innate immune responses to cytosolic DNA","Immune System"
"832","Regulation of insulin secretion","Metabolism"
"833","Regulation of insulin secretion","Metabolism"
"834","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","Metabolism of proteins"
"835","Regulation of KIT signaling","Signal Transduction"
"836","Regulation of lipid metabolism by PPARalpha","Metabolism"
"837","Regulation of localization of FOXO transcription factors","Gene expression (Transcription)"
"838","Regulation of MECP2 expression and activity","Gene expression (Transcription)"
"839","Regulation of necroptotic cell death","Programmed Cell Death"
"840","Regulation of NF-kappa B signaling","Immune System"
"841","Regulation of ornithine decarboxylase (ODC)","Metabolism"
"842","Regulation of PLK1 Activity at G2/M Transition","Cell Cycle"
"843","Regulation of PTEN gene transcription","Signal Transduction"
"844","Regulation of PTEN stability and activity","Signal Transduction"
"845","Regulation of pyruvate dehydrogenase (PDH) complex","Metabolism"
"846","Regulation of RAS by GAPs","Signal Transduction"
"847","Regulation of RUNX1 Expression and Activity","Gene expression (Transcription)"
"848","Regulation of RUNX2 expression and activity","Gene expression (Transcription)"
"849","Regulation of RUNX3 expression and activity","Gene expression (Transcription)"
"850","Regulation of signaling by CBL","Immune System"
"851","Regulation of signaling by NODAL","Developmental Biology"
"852","Regulation of the apoptosome activity","Programmed Cell Death"
"853","Regulation of TLR by endogenous ligand","Immune System"
"854","Regulation of TNFR1 signaling","Signal Transduction"
"855","Regulation of TP53 Activity through Acetylation","Gene expression (Transcription)"
"856","Regulation of TP53 Activity through Association with Co-factors","Gene expression (Transcription)"
"857","Regulation of TP53 Activity through Methylation","Gene expression (Transcription)"
"858","Regulation of TP53 Activity through Phosphorylation","Gene expression (Transcription)"
"859","Regulation of TP53 Degradation","Gene expression (Transcription)"
"860","Removal of aminoterminal propeptides from gamma-carboxylated proteins","Metabolism of proteins"
"861","Removal of the Flap Intermediate","Cell Cycle"
"862","Removal of the Flap Intermediate","DNA Replication"
"863","Removal of the Flap Intermediate from the C-strand","Cell Cycle"
"864","Repression of WNT target genes","Signal Transduction"
"865","Reproduction","Reproduction"
"866","Resolution of Abasic Sites (AP sites)","DNA Repair"
"867","Resolution of AP sites via the multiple-nucleotide patch replacement pathway","DNA Repair"
"868","Resolution of D-loop Structures through Holliday Junction Intermediates","DNA Repair"
"869","Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)","DNA Repair"
"870","Resolution of Sister Chromatid Cohesion","Cell Cycle"
"871","Respiratory electron transport","Metabolism"
"872","Respiratory electron transport","Metabolism"
"873","Response of EIF2AK1 (HRI) to heme deficiency","Cellular responses to stimuli"
"874","Response of EIF2AK4 (GCN2) to amino acid deficiency","Cellular responses to stimuli"
"875","Response to elevated platelet cytosolic Ca2+","Hemostasis"
"876","RET signaling","Developmental Biology"
"877","Retinoid metabolism and transport","Metabolism"
"878","Retinoid metabolism and transport","Sensory Perception"
"879","Retrograde neurotrophin signalling","Signal Transduction"
"880","Retrograde transport at the Trans-Golgi-Network","Vesicle-mediated transport"
"881","Rev-mediated nuclear export of HIV RNA","Disease"
"882","Rev-mediated nuclear export of HIV RNA","Disease"
"883","Reversible hydration of carbon dioxide","Metabolism"
"884","RHO GTPases activate CIT","Signal Transduction"
"885","RHO GTPases Activate Formins","Signal Transduction"
"886","RHO GTPases activate IQGAPs","Signal Transduction"
"887","RHO GTPases activate KTN1","Signal Transduction"
"888","RHO GTPases Activate NADPH Oxidases","Signal Transduction"
"889","RHO GTPases activate PAKs","Signal Transduction"
"890","RHO GTPases activate PKNs","Signal Transduction"
"891","RHO GTPases Activate ROCKs","Signal Transduction"
"892","RHO GTPases Activate WASPs and WAVEs","Signal Transduction"
"893","RHOA GTPase cycle","Signal Transduction"
"894","RHOB GTPase cycle","Signal Transduction"
"895","RHOBTB1 GTPase cycle","Signal Transduction"
"896","RHOBTB2 GTPase cycle","Signal Transduction"
"897","RHOBTB3 ATPase cycle","Signal Transduction"
"898","RHOC GTPase cycle","Signal Transduction"
"899","RHOD GTPase cycle","Signal Transduction"
"900","RHOF GTPase cycle","Signal Transduction"
"901","RHOG GTPase cycle","Signal Transduction"
"902","RHOH GTPase cycle","Signal Transduction"
"903","RHOJ GTPase cycle","Signal Transduction"
"904","RHOQ GTPase cycle","Signal Transduction"
"905","RHOU GTPase cycle","Signal Transduction"
"906","RHOV GTPase cycle","Signal Transduction"
"907","Ribosomal scanning and start codon recognition","Metabolism of proteins"
"908","RIP-mediated NFkB activation via ZBP1","Immune System"
"909","RIPK1-mediated regulated necrosis","Programmed Cell Death"
"910","RIPK1-mediated regulated necrosis","Programmed Cell Death"
"911","RMTs methylate histone arginines","Chromatin organization"
"912","RNA Pol II CTD phosphorylation and interaction with CE","Gene expression (Transcription)"
"913","RNA Pol II CTD phosphorylation and interaction with CE during HIV infection","Disease"
"914","RNA Polymerase I Promoter Escape","Gene expression (Transcription)"
"915","RNA Polymerase I Promoter Opening","Gene expression (Transcription)"
"916","RNA Polymerase I Transcription Initiation","Gene expression (Transcription)"
"917","RNA Polymerase I Transcription Termination","Gene expression (Transcription)"
"918","RNA Polymerase II HIV Promoter Escape","Disease"
"919","RNA Polymerase II Pre-transcription Events","Gene expression (Transcription)"
"920","RNA Polymerase II Promoter Escape","Gene expression (Transcription)"
"921","RNA polymerase II transcribes snRNA genes","Gene expression (Transcription)"
"922","RNA Polymerase II Transcription Elongation","Gene expression (Transcription)"
"923","RNA Polymerase II Transcription Initiation","Gene expression (Transcription)"
"924","RNA Polymerase II Transcription Initiation And Promoter Clearance","Gene expression (Transcription)"
"925","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","Gene expression (Transcription)"
"926","RNA Polymerase II Transcription Termination","Gene expression (Transcription)"
"927","RNA Polymerase III Abortive And Retractive Initiation","Gene expression (Transcription)"
"928","RNA Polymerase III Chain Elongation","Gene expression (Transcription)"
"929","RNA Polymerase III Transcription Initiation From Type 1 Promoter","Gene expression (Transcription)"
"930","RNA Polymerase III Transcription Initiation From Type 2 Promoter","Gene expression (Transcription)"
"931","RNA Polymerase III Transcription Initiation From Type 3 Promoter","Gene expression (Transcription)"
"932","RNA Polymerase III Transcription Termination","Gene expression (Transcription)"
"933","RND1 GTPase cycle","Signal Transduction"
"934","RND2 GTPase cycle","Signal Transduction"
"935","RND3 GTPase cycle","Signal Transduction"
"936","Role of LAT2/NTAL/LAB on calcium mobilization","Immune System"
"937","Role of phospholipids in phagocytosis","Immune System"
"938","Role of second messengers in netrin-1 signaling","Developmental Biology"
"939","ROS and RNS production in phagocytes","Immune System"
"940","ROS and RNS production in phagocytes","Immune System"
"941","rRNA modification in the nucleus and cytosol","Metabolism of RNA"
"942","rRNA processing in the mitochondrion","Metabolism of RNA"
"943","RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)","Gene expression (Transcription)"
"944","RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known","Gene expression (Transcription)"
"945","RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function","Gene expression (Transcription)"
"946","RUNX1 regulates transcription of genes involved in differentiation of HSCs","Gene expression (Transcription)"
"947","RUNX2 regulates bone development","Gene expression (Transcription)"
"948","RUNX2 regulates osteoblast differentiation","Gene expression (Transcription)"
"949","RUNX3 regulates NOTCH signaling","Gene expression (Transcription)"
"950","SARS-CoV-2 activates/modulates innate and adaptive immune responses","Disease"
"951","SARS-CoV-2 activates/modulates innate and adaptive immune responses","Disease"
"952","SARS-CoV-2 modulates autophagy","Disease"
"953","SARS-CoV-2 modulates autophagy","Disease"
"954","SARS-CoV-2 modulates host translation machinery","Disease"
"955","SARS-CoV-2 modulates host translation machinery","Disease"
"956","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","Disease"
"957","SARS-CoV-2 targets host intracellular signalling and regulatory pathways","Disease"
"958","Scavenging by Class A Receptors","Vesicle-mediated transport"
"959","Scavenging by Class A Receptors","Vesicle-mediated transport"
"960","Scavenging of heme from plasma","Vesicle-mediated transport"
"961","SCF-beta-TrCP mediated degradation of Emi1","Cell Cycle"
"962","SCF(Skp2)-mediated degradation of p27/p21","Cell Cycle"
"963","Sealing of the nuclear envelope (NE) by ESCRT-III","Cell Cycle"
"964","Selenoamino acid metabolism","Metabolism"
"965","Selenocysteine synthesis","Metabolism"
"966","Sema3A PAK dependent Axon repulsion","Developmental Biology"
