Gene,List_Name,Cluster,List_Name_2,Group
Signaling by NOTCH,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Fcgamma receptor (FCGR) dependent phagocytosis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
ER-Phagosome pathway,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Regulation of actin dynamics for phagocytic cup formation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RHO GTPase cycle,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Degradation of the extracellular matrix,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
C-type lectin receptors (CLRs),ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Paradoxical activation of RAF signaling by kinase inactive BRAF,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by moderate kinase activity BRAF mutants,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by RAS mutants,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling downstream of RAS mutants,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
TRAF6 mediated NF-kB activation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Response to elevated platelet cytosolic Ca2+,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
The role of Nef in HIV-1 replication and disease pathogenesis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Developmental Biology,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Ion homeostasis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RHO GTPases Activate WASPs and WAVEs,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
VEGFA-VEGFR2 Pathway,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RAF/MAP kinase cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
FCERI mediated Ca+2 mobilization,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
EPHA-mediated growth cone collapse,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor 2 (TLR2) Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor TLR1:TLR2 Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
SARS-CoV-2 Infection,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
MyD88:MAL(TIRAP) cascade initiated on plasma membrane,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor TLR6:TLR2 Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
MAPK family signaling cascades,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll-like Receptor Cascades,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RAC2 GTPase cycle,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
SARS-CoV Infections,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
MAPK1/MAPK3 signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by VEGF,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Long-term potentiation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Pyrimidine catabolism,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Cellular response to chemical stress,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Trafficking of AMPA receptors,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Peptide hormone metabolism,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Erythropoietin activates Phosphoinositide-3-kinase (PI3K),ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Nervous system development,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Reduction of cytosolic Ca++ levels,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor 4 (TLR4) Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Platelet calcium homeostasis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Constitutive Signaling by NOTCH1 PEST Domain Mutants,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by NOTCH1 in Cancer,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by NOTCH1 PEST Domain Mutants in Cancer,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RAC3 GTPase cycle,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
IRAK4 deficiency (TLR2/4),ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Interleukin-12 signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Interleukin-12 family signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
MyD88 deficiency (TLR2/4),ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Translocation of SLC2A4 (GLUT4) to the plasma membrane,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RAC1 GTPase cycle,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Axon guidance,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Maturation of nucleoprotein,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Sensory Perception,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Regulation of TLR by endogenous ligand,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by Interleukins,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
PECAM1 interactions,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Nef mediated downregulation of MHC class I complex cell surface expression,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Folding of actin by CCT/TriC,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Adherens junctions interactions,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
DDX58/IFIH1-mediated induction of interferon-alpha/beta,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by NOTCH1,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Platelet Aggregation (Plug Formation),ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
G alpha (i) signalling events,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Mitotic G1 phase and G1/S transition,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by ERBB2 KD Mutants,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Phosphorylation of CD3 and TCR zeta chains,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Depolymerisation of the Nuclear Lamina,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Ca2+ pathway,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by EGFR,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Chromatin modifying enzymes,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Chromatin organization,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Platelet degranulation ,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Cell-cell junction organization,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Notch-HLH transcription pathway,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Transcriptional activation of mitochondrial biogenesis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Detoxification of Reactive Oxygen Species,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Interaction between L1 and Ankyrins,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
SARS-CoV-1 Infection,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by high-kinase activity BRAF mutants,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor 3 (TLR3) Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Integrin signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
GRB2:SOS provides linkage to MAPK signaling for Integrins ,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
TCR signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
MyD88-independent TLR4 cascade ,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
TRIF(TICAM1)-mediated TLR4 signaling ,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Cell surface interactions at the vascular wall,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by PDGFR in disease,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RHOF GTPase cycle,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by WNT,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Trafficking and processing of endosomal TLR,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Rap1 signalling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Extracellular matrix organization,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Beta-catenin independent WNT signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
MAP2K and MAPK activation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
SHC1 events in ERBB4 signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Trafficking of GluR2-containing AMPA receptors,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by ERBB2 in Cancer,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by ERBB2 TMD/JMD mutants,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Assembly of collagen fibrils and other multimeric structures,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Negative regulation of MET activity,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Cell-Cell communication,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Sphingolipid metabolism,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Transcriptional Regulation by VENTX,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
VEGFR2 mediated cell proliferation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
GRB2 events in ERBB2 signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
SARS-CoV-2 activates/modulates innate and adaptive immune responses,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Ion transport by P-type ATPases,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor 7/8 (TLR7/8) Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Transcriptional regulation of white adipocyte differentiation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Regulated proteolysis of p75NTR,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
MyD88 cascade initiated on plasma membrane,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor 10 (TLR10) Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor 5 (TLR5) Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Pyrimidine salvage,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Recycling of bile acids and salts,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
DAP12 signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by NOTCH3,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
MyD88 dependent cascade initiated on endosome,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Opioid Signalling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
VxPx cargo-targeting to cilium,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by ERBB4,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by GPCR,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RORA activates gene expression,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Myogenesis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Vesicle-mediated transport,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Constitutive Signaling by Aberrant PI3K in Cancer,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Negative regulation of the PI3K/AKT network,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Antimicrobial peptides,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Protein folding,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by MET,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Regulation of RUNX2 expression and activity,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Purine salvage,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
NOTCH1 Intracellular Domain Regulates Transcription,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Gap junction degradation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Downstream signaling events of B Cell Receptor (BCR),ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Toll Like Receptor 9 (TLR9) Cascade,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Interleukin-6 signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Acyl chain remodelling of PS,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Interleukin-6 family signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
SARS-CoV-2-host interactions,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Heme signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Activation of NF-kappaB in B cells,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Recycling pathway of L1,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Deactivation of the beta-catenin transactivating complex,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Signaling by WNT in cancer,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Formation of annular gap junctions,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Nuclear signaling by ERBB4,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
PI3K events in ERBB2 signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Listeria monocytogenes entry into host cells,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
FLT3 Signaling,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Estrogen-dependent gene expression,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Synthesis of bile acids and bile salts,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Cardiac conduction,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
RAB GEFs exchange GTP for GDP on RABs,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Collagen formation,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Regulation of insulin secretion,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Platelet homeostasis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Transcriptional regulation by RUNX2,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Clathrin-mediated endocytosis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
NOTCH3 Intracellular Domain Regulates Transcription,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Infection with Mycobacterium tuberculosis,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Membrane Trafficking,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Dectin-2 family,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Organelle biogenesis and maintenance,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
"Incretin synthesis, secretion, and inactivation",ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
Smooth Muscle Contraction,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
EGR2 and SOX10-mediated initiation of Schwann cell myelination,ASPP_vs_ASNN,CD14-active,HIV+AS+ vs HIV-AS-,CD14-active HIV+AS+ vs HIV-AS-
